service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SID188734,0,0,0,0,0,0,1,20260614,20260614
SID185186,0,0,0,0,0,1,1,20260614,20260627
SID185187,0,0,0,0,0,1,0,20260614,20260627
SID185189,1,1,1,1,1,0,0,20260614,20260627
SID188153,0,0,0,0,0,0,1,20260614,20260627
SID188715,1,1,1,1,1,0,0,20260614,20260627
SID188717,0,0,0,0,0,1,1,20260614,20260627
SID188733,0,0,0,0,0,1,1,20260614,20260627
SID188737,1,1,1,1,1,0,0,20260614,20260627
SID188432,0,0,0,0,1,0,0,20260619,20260619
SID188736,1,0,0,1,1,0,0,20260619,20260625
SID188735,0,0,0,0,0,1,0,20260627,20260627
fares_service_all_times,1,1,1,1,1,1,1,20260614,20270613
fares_service_weekday,1,1,1,1,1,0,0,20260614,20270613
fares_service_weekend,0,0,0,0,0,1,1,20260614,20270613
