trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
4151,05:03:00,05:03:10,252,1,0,0
4151,05:04:00,05:04:10,251,2,0,0
4151,05:05:00,05:05:10,250,3,0,0
4151,05:07:00,05:07:10,249,4,0,0
4151,05:13:00,05:13:10,248,5,0,0
4151,05:14:00,05:14:10,247,6,0,0
4151,05:17:00,05:17:10,246,7,0,0
4151,05:19:00,05:19:10,245,8,0,0
4151,05:21:00,05:21:10,244,9,0,0
4151,05:23:00,05:23:10,243,10,0,0
4151,05:26:00,05:26:10,242,11,0,0
4151,05:28:00,05:28:10,241,12,0,0
4151,05:31:00,05:31:10,240,13,0,0
4152,05:31:00,05:31:10,252,1,0,0
4152,05:32:00,05:32:10,251,2,0,0
4152,05:33:00,05:33:10,250,3,0,0
4152,05:35:00,05:35:10,249,4,0,0
4152,05:41:00,05:41:10,248,5,0,0
4152,05:42:00,05:42:10,247,6,0,0
4152,05:45:00,05:45:10,246,7,0,0
4152,05:47:00,05:47:10,245,8,0,0
4152,05:49:00,05:49:10,244,9,0,0
4152,05:51:00,05:51:10,243,10,0,0
4152,05:54:00,05:54:10,242,11,0,0
4152,05:56:00,05:56:10,241,12,0,0
4152,05:59:00,05:59:10,240,13,0,0
4153,05:47:00,05:47:10,252,1,0,0
4153,05:48:00,05:48:10,251,2,0,0
4153,05:49:00,05:49:10,250,3,0,0
4153,05:51:00,05:51:10,249,4,0,0
4153,05:57:00,05:57:10,248,5,0,0
4153,05:58:00,05:58:10,247,6,0,0
4153,06:01:00,06:01:10,246,7,0,0
4153,06:03:00,06:03:10,245,8,0,0
4153,06:05:00,06:05:10,244,9,0,0
4153,06:07:00,06:07:10,243,10,0,0
4153,06:10:00,06:10:10,242,11,0,0
4153,06:12:00,06:12:10,241,12,0,0
4153,06:15:00,06:15:10,240,13,0,0
4154,06:01:00,06:01:10,252,1,0,0
4154,06:02:00,06:02:10,251,2,0,0
4154,06:03:00,06:03:10,250,3,0,0
4154,06:05:00,06:05:10,249,4,0,0
4154,06:11:00,06:11:10,248,5,0,0
4154,06:12:00,06:12:10,247,6,0,0
4154,06:15:00,06:15:10,246,7,0,0
4154,06:17:00,06:17:10,245,8,0,0
4154,06:19:00,06:19:10,244,9,0,0
4154,06:21:00,06:21:10,243,10,0,0
4154,06:24:00,06:24:10,242,11,0,0
4154,06:26:00,06:26:10,241,12,0,0
4154,06:29:00,06:29:10,240,13,0,0
4155,06:16:00,06:16:10,252,1,0,0
4155,06:17:00,06:17:10,251,2,0,0
4155,06:18:00,06:18:10,250,3,0,0
4155,06:20:00,06:20:10,249,4,0,0
4155,06:26:00,06:26:10,248,5,0,0
4155,06:27:00,06:27:10,247,6,0,0
4155,06:30:00,06:30:10,246,7,0,0
4155,06:32:00,06:32:10,245,8,0,0
4155,06:34:00,06:34:10,244,9,0,0
4155,06:36:00,06:36:10,243,10,0,0
4155,06:39:00,06:39:10,242,11,0,0
4155,06:41:00,06:41:10,241,12,0,0
4155,06:44:00,06:44:10,240,13,0,0
4156,06:27:00,06:27:10,252,1,0,0
4156,06:28:00,06:28:10,251,2,0,0
4156,06:29:00,06:29:10,250,3,0,0
4156,06:31:00,06:31:10,249,4,0,0
4156,06:37:00,06:37:10,248,5,0,0
4156,06:38:00,06:38:10,247,6,0,0
4156,06:41:00,06:41:10,246,7,0,0
4156,06:43:00,06:43:10,245,8,0,0
4156,06:45:00,06:45:10,244,9,0,0
4156,06:47:00,06:47:10,243,10,0,0
4156,06:50:00,06:50:10,242,11,0,0
4156,06:52:00,06:52:10,241,12,0,0
4156,06:55:00,06:55:10,240,13,0,0
4157,06:40:00,06:40:10,252,1,0,0
4157,06:41:00,06:41:10,251,2,0,0
4157,06:42:00,06:42:10,250,3,0,0
4157,06:44:00,06:44:10,249,4,0,0
4157,06:50:00,06:50:10,248,5,0,0
4157,06:51:00,06:51:10,247,6,0,0
4157,06:54:00,06:54:10,246,7,0,0
4157,06:56:00,06:56:10,245,8,0,0
4157,06:58:00,06:58:10,244,9,0,0
4157,07:00:00,07:00:10,243,10,0,0
4157,07:03:00,07:03:10,242,11,0,0
4157,07:05:00,07:05:10,241,12,0,0
4157,07:08:00,07:08:10,240,13,0,0
4158,06:51:00,06:51:10,252,1,0,0
4158,06:52:00,06:52:10,251,2,0,0
4158,06:53:00,06:53:10,250,3,0,0
4158,06:55:00,06:55:10,249,4,0,0
4158,07:01:00,07:01:10,248,5,0,0
4158,07:02:00,07:02:10,247,6,0,0
4158,07:05:00,07:05:10,246,7,0,0
4158,07:07:00,07:07:10,245,8,0,0
4158,07:09:00,07:09:10,244,9,0,0
4158,07:11:00,07:11:10,243,10,0,0
4158,07:14:00,07:14:10,242,11,0,0
4158,07:16:00,07:16:10,241,12,0,0
4158,07:19:00,07:19:10,240,13,0,0
4159,06:59:00,06:59:10,252,1,0,0
4159,07:00:00,07:00:10,251,2,0,0
4159,07:01:00,07:01:10,250,3,0,0
4159,07:03:00,07:03:10,249,4,0,0
4159,07:09:00,07:09:10,248,5,0,0
4159,07:10:00,07:10:10,247,6,0,0
4159,07:13:00,07:13:10,246,7,0,0
4159,07:15:00,07:15:10,245,8,0,0
4159,07:17:00,07:17:10,244,9,0,0
4159,07:19:00,07:19:10,243,10,0,0
4159,07:22:00,07:22:10,242,11,0,0
4159,07:24:00,07:24:10,241,12,0,0
4159,07:27:00,07:27:10,240,13,0,0
4160,07:10:00,07:10:10,252,1,0,0
4160,07:11:00,07:11:10,251,2,0,0
4160,07:12:00,07:12:10,250,3,0,0
4160,07:14:00,07:14:10,249,4,0,0
4160,07:20:00,07:20:10,248,5,0,0
4160,07:21:00,07:21:10,247,6,0,0
4160,07:24:00,07:24:10,246,7,0,0
4160,07:26:00,07:26:10,245,8,0,0
4160,07:28:00,07:28:10,244,9,0,0
4160,07:30:00,07:30:10,243,10,0,0
4160,07:33:00,07:33:10,242,11,0,0
4160,07:35:00,07:35:10,241,12,0,0
4160,07:38:00,07:38:10,240,13,0,0
4161,07:19:00,07:19:10,252,1,0,0
4161,07:20:00,07:20:10,251,2,0,0
4161,07:21:00,07:21:10,250,3,0,0
4161,07:23:00,07:23:10,249,4,0,0
4161,07:29:00,07:29:10,248,5,0,0
4161,07:30:00,07:30:10,247,6,0,0
4161,07:33:00,07:33:10,246,7,0,0
4161,07:35:00,07:35:10,245,8,0,0
4161,07:37:00,07:37:10,244,9,0,0
4161,07:39:00,07:39:10,243,10,0,0
4161,07:42:00,07:42:10,242,11,0,0
4161,07:44:00,07:44:10,241,12,0,0
4161,07:47:00,07:47:10,240,13,0,0
4162,07:26:00,07:26:10,252,1,0,0
4162,07:27:00,07:27:10,251,2,0,0
4162,07:28:00,07:28:10,250,3,0,0
4162,07:30:00,07:30:10,249,4,0,0
4162,07:36:00,07:36:10,248,5,0,0
4162,07:37:00,07:37:10,247,6,0,0
4162,07:40:00,07:40:10,246,7,0,0
4162,07:42:00,07:42:10,245,8,0,0
4162,07:44:00,07:44:10,244,9,0,0
4162,07:46:00,07:46:10,243,10,0,0
4162,07:49:00,07:49:10,242,11,0,0
4162,07:51:00,07:51:10,241,12,0,0
4162,07:54:00,07:54:10,240,13,0,0
4163,07:42:00,07:42:10,252,1,0,0
4163,07:43:00,07:43:10,251,2,0,0
